CEST;"Descricao";Inicio;Fim
0105600;"Telefones móveis do tipo dos utilizados em veículos automóveis.";2018-01-01;2023-08-31
0105600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0105700;"Alto-falantes, amplificadores elétricos de audiofrequência e partes";2018-01-01;2023-08-31
0105700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0105800;"Aparelhos elétricos de amplificação de som para veículos automotores";2018-01-01;2023-08-31
0105800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0105900;"Aparelhos de reprodução de som";2018-01-01;2023-08-31
0105900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106000;"Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)";2018-01-01;2023-08-31
0106000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106100;"Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis";2018-01-01;2023-08-31
0106100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106200;"Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis";2018-01-01;2023-08-31
0106200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106201;"Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores";2018-01-01;2023-08-31
0106201;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106300;"Antenas";2018-01-01;2023-08-31
0106300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106400;"Circuitos impressos";2018-01-01;2023-08-31
0106400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106500;"Interruptores e seccionadores e comutadores";2018-01-01;2023-08-31
0106500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106600;"Fusíveis e corta-circuitos de fusíveis";2018-01-01;2023-08-31
0106600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106700;"Disjuntores";2018-01-01;2023-08-31
0106700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106800;"Relés";2018-01-01;2023-08-31
0106800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0106900;"Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00";2018-01-01;2023-08-31
0106900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0107000;"Faróis e projetores, em unidades seladas";2018-01-01;2023-08-31
0107000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
