COD_PAIS;NOME_PAIS;SITUACAO;INICIO;FIM
07153;SANTA LUCIA;;2006-01-01;
07200;SAO TOME E PRINCIPE, ILHAS;;2006-01-01;
07285;SENEGAL;;2006-01-01;
07315;SEYCHELLES;;2006-01-01;
07358;SERRA LEOA;;2006-01-01;
07370;SERVIA;;2006-01-01;
07412;CINGAPURA;;2006-01-01;
07447;SIRIA, REPUBLICA ARABE DA;;2006-01-01;
07480;SOMALIA;;2006-01-01;
07501;SRI LANKA;;2006-01-01;
07544;SUAZILANDIA;;2006-01-01;
07552;SVALBARD E JAN MAYERN;INCLUÍDO;2017-01-01;
07560;AFRICA DO SUL;;2006-01-01;
07595;SUDAO;;2011-07-01;
07600;SUDÃO DO SUL;;2006-01-01;
07641;SUECIA;;2006-01-01;
07676;SUICA;;2006-01-01;
07706;SURINAME;;2006-01-01;
07722;TADJIQUISTAO, REPUBLICA DO;;2006-01-01;
07765;TAILANDIA;;2006-01-01;
07803;TANZANIA, REP.UNIDA DA;;2006-01-01;
07811;TERRAS AUSTRAIS E ANTARTICAS FRANCESAS;INCLUÍDO;2017-01-01;
07820;TERRITORIO BRIT.OC.INDICO;;2006-01-01;
07838;DJIBUTI;;2006-01-01;
07889;CHADE;;2006-01-01;
07919;TCHECA, REPUBLICA;;2006-01-01;
07951;TIMOR LESTE;;2006-01-01;
08001;TOGO;;2006-01-01;
08052;TOQUELAU,ILHAS;;2006-01-01;
08109;TONGA;;2006-01-01;
08150;TRINIDAD E TOBAGO;;2006-01-01;
08206;TUNISIA;;2006-01-01;
08230;TURCAS E CAICOS,ILHAS;;2006-01-01;
08249;TURCOMENISTAO, REPUBLICA DO;;2006-01-01;
08273;TURQUIA;;2006-01-01;
08281;TUVALU;;2006-01-01;
08311;UCRANIA;;2006-01-01;
08338;UGANDA;;2006-01-01;
08451;URUGUAI;;2006-01-01;
08478;UZBEQUISTAO, REPUBLICA DO;;2006-01-01;
08486;VATICANO, EST.DA CIDADE DO;;2006-01-01;
08508;VENEZUELA;;2006-01-01;
08583;VIETNA;;2006-01-01;
08630;VIRGENS,ILHAS (BRITANICAS);;2006-01-01;
08664;VIRGENS,ILHAS (E.U.A.);;2006-01-01;
08702;FIJI;;2006-01-01;
08753;WALLIS E FUTUNA, ILHAS;INCLUÍDO;2017-01-01;
08737;WAKE, ILHA;EXCLUÍDO;2006-01-01;2018-05-31
08885;CONGO, REPUBLICA DEMOCRATICA DO;;2006-01-01;
08907;ZAMBIA;;2006-01-01;
