CFOP;Descrição;Início;Fim
1920;Entrada de vasilhame ou sacaria;2009-01-01;
1921;Retorno de vasilhame ou sacaria;2009-01-01;
1922;Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro;2009-01-01;
1923;Entrada de mercadoria recebida do vendedor remetente, em venda à ordem;2009-01-01;
1924;Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
1925;Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
1926;Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação;2009-01-01;
1931;Lançamento efetuado pelo tomador do serviço de transporte quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço. (Ajuste SINIEF 03/04);2009-01-01;
1932;Aquisição de serviço de transporte iniciado em unidade da Federação diversa daquela onde inscrito o prestador. (ajuste sinief 03/04);2009-01-01;
1933;Aquisição de serviço tributado pelo ISSQN.(ajuste sinief 03/04);2009-01-01;
1949;Outra entrada de mercadoria ou prestação de serviço não especificada;2009-01-01;
2101;Compra para industrialização;2009-01-01;
2102;Compra para comercialização;2009-01-01;
2111;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial;2009-01-01;
2113;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil;2009-01-01;
2116;Compra para industrialização originada de encomenda para recebimento futuro;2009-01-01;
2117;Compra para comercialização originada de encomenda para recebimento futuro;2009-01-01;
2118;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem;2009-01-01;
2120;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente;2009-01-01;
2121;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente;2009-01-01;
2122;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;2009-01-01;
2124;Industrialização efetuada por outra empresa;2009-01-01;
2125;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria;2009-01-01;
2126;Compra para utilização na prestação de serviço;2009-01-01;
2151;Transferência para industrialização;2009-01-01;
2152;Transferência para comercialização;2009-01-01;
2153;Transferência de energia elétrica para distribuição;2009-01-01;
2154;Transferência para utilização na prestação de serviço;2009-01-01;
2159;Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;2018-09-01;
2201;Devolução de venda de produção do estabelecimento;2009-01-01;
2202;Devolução de venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;2022-05-31
2202;Devolução de venda de mercadoria adquirida ou recebida de terceiros, ou qualquer devolução de mercadoria efetuada pelo MEI com exceção das classificadas nos códigos 2.503, 2.504, 2.505 e 2.506;2022-06-01;
2203;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
2204;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
2205;Anulação de valor relativo à prestação de serviço de comunicação;2009-01-01;
2206;Anulação de valor relativo à prestação de serviço de transporte;2009-01-01;
2207;Anulação de valor relativo à venda de energia elétrica;2009-01-01;
2208;Devolução de produção do estabelecimento, remetida em transferência;2009-01-01;
2209;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;2009-01-01;
2251;Compra de energia elétrica para distribuição ou comercialização;2009-01-01;
2252;Compra de energia elétrica por estabelecimento industrial;2009-01-01;
2253;Compra de energia elétrica por estabelecimento comercial;2009-01-01;
2254;Compra de energia elétrica por estabelecimento prestador de serviço de transporte;2009-01-01;
2255;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;2009-01-01;
2256;Compra de energia elétrica por estabelecimento de produtor rural;2009-01-01;
2257;Compra de energia elétrica para consumo por demanda contratada;2009-01-01;
2301;Aquisição de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
2302;Aquisição de serviço de comunicação por estabelecimento industrial;2009-01-01;
2303;Aquisição de serviço de comunicação por estabelecimento comercial;2009-01-01;
2304;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;2009-01-01;
2305;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
2306;Aquisição de serviço de comunicação por estabelecimento de produtor rural;2009-01-01;
2351;Aquisição de serviço de transporte para execução de serviço da mesma natureza;2009-01-01;
2352;Aquisição de serviço de transporte por estabelecimento industrial;2009-01-01;
2353;Aquisição de serviço de transporte por estabelecimento comercial;2009-01-01;
2354;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;2009-01-01;
2355;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
2356;Aquisição de serviço de transporte por estabelecimento de produtor rural;2009-01-01;
2401;Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2403;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2406;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária;2009-01-01;
2407;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária;2009-01-01;
2408;Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2409;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2410;Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
2411;Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2414;Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
2415;Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
2451;Entrada de animal - Sistema de Integração e Parceria Rural;2019-12-01;
2452;Entrada de insumo - Sistema de Integração e Parceria Rural;2019-12-01;
2453;Retorno do animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
2454;Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
2455;Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural;2019-12-01;
2456;Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural;2019-12-01;
2501;Entrada de mercadoria recebida com fim específico de exportação;2009-01-01;
2503;Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento;2009-01-01;
2504;Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros;2009-01-01;
2505;Entrada decorrente de devolução simbólica de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;2009-01-01;2018-08-31
2505;Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento;2018-09-01;
2506;Entrada decorrente de devolução simbólica de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação.;2009-01-01;2018-08-31
2506;Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação;2018-09-01;
2551;Compra de bem para o ativo imobilizado;2009-01-01;
2552;Transferência de bem do ativo imobilizado;2009-01-01;
2553;Devolução de venda de bem do ativo imobilizado;2009-01-01;
2554;Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento;2009-01-01;
2555;Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento;2009-01-01;
2556;Compra de material para uso ou consumo;2009-01-01;
2557;Transferência de material para uso ou consumo;2009-01-01;
2603;Ressarcimento de ICMS retido por substituição tributária;2009-01-01;
2651;Compra de combustível ou lubrificante para industrialização subseqüente;2009-01-01;
2652;Compra de combustível ou lubrificante para comercialização;2009-01-01;
2653;Compra de combustível ou lubrificante por consumidor ou usuário final;2009-01-01;
2657;Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento;2020-02-01;
2658;Transferência de combustível e lubrificante para industrialização;2009-01-01;
2659;Transferência de combustível e lubrificante para comercialização;2009-01-01;
2660;Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente;2009-01-01;
2661;Devolução de venda de combustível ou lubrificante destinado à comercialização;2009-01-01;
2662;Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final;2009-01-01;
2663;Entrada de combustível ou lubrificante para armazenagem;2009-01-01;
2664;Retorno de combustível ou lubrificante remetido para armazenagem;2009-01-01;
2901;Entrada para industrialização por encomenda;2009-01-01;
2902;Retorno de mercadoria remetida para industrialização por encomenda;2009-01-01;
2903;Entrada de mercadoria remetida para industrialização e não aplicada no referido processo;2009-01-01;
2904;Retorno de remessa para venda fora do estabelecimento;2009-01-01;2022-05-31
2904;Retorno de remessa para venda fora do estabelecimento, ou qualquer entrada e retorno de remessa efetuada pelo MEI com exceção dos classificados nos códigos 2.202, 2.503, 2.504, 2.505 e 2.506;2022-06-01;
2905;Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral;2009-01-01;
2906;Retorno de mercadoria remetida para depósito fechado ou armazém geral;2009-01-01;
2907;Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral;2009-01-01;
2908;Entrada de bem por conta de contrato de comodato;2009-01-01;2019-11-30
2908;Entrada de bem por conta de contrato de comodato ou locação;2019-12-01;
2909;Retorno de bem remetido por conta de contrato de comodato;2009-01-01;2019-11-30
2909;Retorno de bem remetido por conta de contrato de comodato ou locação;2019-12-01;
2910;Entrada de bonificação, doação ou brinde;2009-01-01;
2911;Entrada de amostra grátis;2009-01-01;
2912;Entrada de mercadoria ou bem recebido para demonstração;2009-01-01;
2913;Retorno de mercadoria ou bem remetido para demonstração;2009-01-01;
2914;Retorno de mercadoria ou bem remetido para exposição ou feira;2009-01-01;
2915;Entrada de mercadoria ou bem recebido para conserto ou reparo;2009-01-01;
2916;Retorno de mercadoria ou bem remetido para conserto ou reparo;2009-01-01;
2917;Entrada de mercadoria recebida em consignação mercantil ou industrial;2009-01-01;
2918;Devolução de mercadoria remetida em consignação mercantil ou industrial;2009-01-01;
2919;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial;2009-01-01;
2920;Entrada de vasilhame ou sacaria;2009-01-01;
2921;Retorno de vasilhame ou sacaria;2009-01-01;
2922;Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro;2009-01-01;
2923;Entrada de mercadoria recebida do vendedor remetente, em venda à ordem;2009-01-01;
2924;Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
2925;Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;2009-01-01;
2931;Lançamento efetuado pelo tomador do serviço de transporte quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço. (ajuste sinief 03/04);2009-01-01;
2932;Aquisição de serviço de transporte iniciado em unidade da Federação diversa daquela onde inscrito o prestador. (ajuste sinief 03/04);2009-01-01;
2933;Aquisição de serviço tributado pelo ISSQN. (ajuste sinief 03/04);2009-01-01;
2949;Outra entrada de mercadoria ou prestação de serviço não especificado;2009-01-01;
3101;Compra para industrialização;2009-01-01;
3102;Compra para comercialização;2009-01-01;
3126;Compra para utilização na prestação de serviço;2009-01-01;
3127;Compra para industrialização sob o regime de drawback;2009-01-01;
3201;Devolução de venda de produção do estabelecimento;2009-01-01;
3202;Devolução de venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;
3205;Anulação de valor relativo à prestação de serviço de comunicação;2009-01-01;
3206;Anulação de valor relativo à prestação de serviço de transporte;2009-01-01;
3207;Anulação de valor relativo à venda de energia elétrica;2009-01-01;
3211;Devolução de venda de produção do estabelecimento sob o regime de drawback;2009-01-01;
3217;Compra para industrialização sob o regime de "drawback";2009-01-01;2009-10-01
3251;Compra de energia elétrica para distribuição ou comercialização;2009-01-01;
3301;Aquisição de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
3351;Aquisição de serviço de transporte para execução de serviço da mesma natureza;2009-01-01;
3352;Aquisição de serviço de transporte por estabelecimento industrial;2009-01-01;
3353;Aquisição de serviço de transporte por estabelecimento comercial;2009-01-01;
3354;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;2009-01-01;
3355;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
3356;Aquisição de serviço de transporte por estabelecimento de produtor rural;2009-01-01;
3503;Devolução de mercadoria exportada que tenha sido recebida com fim específico de exportação;2009-01-01;
3551;Compra de bem para o ativo imobilizado;2009-01-01;
3553;Devolução de venda de bem do ativo imobilizado;2009-01-01;
3556;Compra de material para uso ou consumo;2009-01-01;
3651;Compra de combustível ou lubrificante para industrialização subseqüente;2009-01-01;
3652;Compra de combustível ou lubrificante para comercialização;2009-01-01;
3653;Compra de combustível ou lubrificante por consumidor ou usuário final;2009-01-01;
3930;Lançamento efetuado a título de entrada de bem sob amparo de regime especial aduaneiro de admissão temporária;2009-01-01;
3949;Outra entrada de mercadoria ou prestação de serviço não especificado;2009-01-01;
5101;Venda de produção do estabelecimento;2009-01-01;
5102;Venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;2022-05-31
5102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 5.501, 5.502, 5.504 e 5.505;2022-06-01;
5103;Venda de produção do estabelecimento, efetuada fora do estabelecimento;2009-01-01;
5104;Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento;2009-01-01;
5105;Venda de produção do estabelecimento que não deva por ele transitar;2009-01-01;
5106;Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;2009-01-01;
5109;Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
5110;Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
5111;Venda de produção do estabelecimento remetida anteriormente em consignação industrial;2009-01-01;
5112;Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação industrial;2009-01-01;
5113;Venda de produção do estabelecimento remetida anteriormente em consignação mercantil;2009-01-01;
5114;Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil;2009-01-01;
5115;Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil;2009-01-01;
5116;Venda de produção do estabelecimento originada de encomenda para entrega futura;2009-01-01;
5117;Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura;2009-01-01;
5118;Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;2009-01-01;
5119;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;2009-01-01;
5120;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem;2009-01-01;
5122;Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;2009-01-01;
5123;Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;2009-01-01;
5124;Industrialização efetuada para outra empresa;2009-01-01;
5125;Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria;2009-01-01;
5151;Transferência de produção do estabelecimento;2009-01-01;
5152;Transferência de mercadoria adquirida ou recebida de terceiros;2009-01-01;
5153;Transferência de energia elétrica;2009-01-01;
5155;Transferência de produção do estabelecimento, que não deva por ele transitar;2009-01-01;
5156;Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;2009-01-01;
5159;Fornecimento de produção do estabelecimento de ato cooperativo;2018-09-01;
5160;Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;2018-09-01;
5201;Devolução de compra para industrialização;2009-01-01;
5202;Devolução de compra para comercialização;2009-01-01;2022-05-31
5202;Devolução de compra para comercialização, ou qualquer devolução de mercadorias efetuada pelo MEI com exceção das classificadas no código 5.503;2022-06-01;
5205;Anulação de valor relativo a aquisição de serviço de comunicação;2009-01-01;
5206;Anulação de valor relativo a aquisição de serviço de transporte;2009-01-01;
5207;Anulação de valor relativo à compra de energia elétrica;2009-01-01;
5208;Devolução de mercadoria recebida em transferência para industrialização;2009-01-01;
5209;Devolução de mercadoria recebida em transferência para comercialização;2009-01-01;
5210;Devolução de compra para utilização na prestação de serviço;2009-01-01;
5251;Venda de energia elétrica para distribuição ou comercialização;2009-01-01;
5252;Venda de energia elétrica para estabelecimento industrial;2009-01-01;
5253;Venda de energia elétrica para estabelecimento comercial;2009-01-01;
5254;Venda de energia elétrica para estabelecimento prestador de serviço de transporte;2009-01-01;
5255;Venda de energia elétrica para estabelecimento prestador de serviço de comunicação;2009-01-01;
5256;Venda de energia elétrica para estabelecimento de produtor rural;2009-01-01;
5257;Venda de energia elétrica para consumo por demanda contratada;2009-01-01;
5258;Venda de energia elétrica a não contribuinte;2009-01-01;
5301;Prestação de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
5302;Prestação de serviço de comunicação a estabelecimento industrial;2009-01-01;
5303;Prestação de serviço de comunicação a estabelecimento comercial;2009-01-01;
