CFOP;Descrição;Início;Fim
5214;Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo, para comercialização.;2018-01-01;
5215;Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo, para industrialização.;2018-01-01;
6131;Remessa de produção de estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo.;2018-01-01;
6132;Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço de ato cooperativo.;2018-01-01;
6213;Devolução de entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;2018-01-01;
6214;Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo, para comercialização.;2018-01-01;
6215;Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo para industrialização.;2018-01-01;
1215;Devolução de fornecimento de produção do estabelecimento de ato cooperativo;2019-05-01;
1216;Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;2019-05-01;
2215;Devolução de fornecimento de produção do estabelecimento de ato cooperativo;2019-05-01;
2216;Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;2019-05-01;
5216;Devolução de entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;2019-05-01;
6216;Devolução de entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;2019-05-01;
5929;Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também acobertada por documento fiscal do varejo;2020-02-01;
3552;Entrada de produtos destinados ao uso ou consumo de bordo, em embarcações ou aeronaves exclusivamente em tráfego internacional com destino ao exterior;2021-06-01;
3667;Entrada de combustível ou lubrificante para consumo final, em embarcações ou aeronaves exclusivamente em tráfego internacional com destino ao exterior;2021-06-01;
7552;Saída de produtos destinados ao uso ou consumo de bordo, em embarcações ou aeronaves exclusivamente em tráfego internacional com destino ao exterior;2021-06-01;
